rollout/episodes,reference_Q_std,rollout/actions_std,reference_actor_Q_mean,total/steps_per_second,rollout/episode_steps,total/episodes,total/steps,reference_perturbed_action_std,total/duration,train/loss_critic,total/epochs,reference_action_mean,rollout/Q_mean,train/loss_actor,reference_action_std,train/param_noise_distance,param_noise_stddev,rollout/return,obs_rms_mean,rollout/return_history,reference_actor_Q_std,reference_Q_mean,rollout/actions_mean,reference_perturbed_action_mean,obs_rms_std
2.0,2.6538290977478027,0.7017131985225875,2.0341060161590576,122.80387419019621,1000.0,2.0,2000,0.6594061851501465,16.286131143569946,0.13174954265356065,1,0.6947056651115417,0.006377508694306016,-1.1856240904331208,0.5169091820716858,0.2683107767999172,0.06965693719894053,-233.20055374902745,0.03844626247882843,-233.20055374902745,2.651128053665161,1.57686185836792,0.2282680569061631,0.6222819685935974,1.385553240776062
4.0,2.9372363090515137,0.7132947390658506,4.997890949249268,126.82500031541426,1000.0,4.0,4000,0.83504319190979,31.539522886276245,0.1578844156861305,2,0.00037630400038324296,2.219463857614435,-5.2215658473968505,0.8321717977523804,0.22535670161247254,0.05823440555183466,-272.6955943719202,0.07083524018526077,-272.6955943719202,2.640556812286377,4.4396514892578125,0.2303147595242408,0.0694475844502449,1.19669508934021
6.0,3.2942955493927,0.7544914622163109,6.975539207458496,129.4305988953999,1000.0,6.0,6000,0.6900506019592285,46.356889724731445,0.18967222273349763,3,0.37241053581237793,4.0091541743831085,-7.546431827545166,0.7079137563705444,0.20476249128580093,0.04235412222587577,-267.4227236702725,0.06349752843379974,-267.4227236702725,3.10884952545166,6.635249137878418,-0.051201219944952754,0.4752861559391022,1.19405198097229
8.0,1.7081660032272339,0.7766643267353929,10.069265365600586,131.83201206452077,1000.0,8.0,8000,0.7104225754737854,60.68328833580017,0.1385253593325615,4,0.178447425365448,5.249869746130425,-10.101615238189698,0.8099271059036255,0.20191662400960922,0.03758713295613906,-233.05076642238436,0.08089472353458405,-233.05076642238436,1.4039138555526733,9.509260177612305,-0.01311716959518526,0.3002757728099823,1.353894591331482
10.0,1.725983738899231,0.7712049378774769,12.147783279418945,131.8734045700777,1000.0,10.0,10000,0.8505357503890991,75.83030128479004,0.37277880758047105,5,0.025307729840278625,6.745134757885709,-12.932250480651856,0.8633072376251221,0.19509091436862946,0.03758713295613906,-111.56894125616937,0.09153440594673157,-111.56894125616937,1.5989420413970947,11.616710662841797,-0.1754710591683921,0.08237188309431076,1.563563585281372
12.0,1.8130156993865967,0.7585191091964717,17.575672149658203,132.73794556068955,1000.0,12.0,12000,0.8110625147819519,90.40368938446045,0.7004228484630585,6,0.11577516049146652,7.157153576183132,-16.209423828125,0.8081799745559692,0.20759772330522538,0.034711086666206405,-112.60887545553582,0.09373955428600311,-112.60887545553582,1.6391652822494507,16.838945388793945,-0.2960059593554518,0.14886336028575897,1.6092729568481445
14.0,1.6912175416946411,0.7425962110982545,23.29106330871582,133.1563380683637,1000.0,14.0,14000,0.7996577620506287,105.13956904411316,0.7391061735153198,7,0.14487193524837494,6.750774326927162,-18.356271438598633,0.7755202054977417,0.20224408358335494,0.03335667202186391,-157.1045727919411,0.09217114001512527,-157.1045727919411,1.4698270559310913,22.200336456298828,-0.39272104190784324,0.10820749402046204,1.53597092628479
16.0,2.2199089527130127,0.7238730018522944,28.13869285583496,134.3578503395505,1000.0,16.0,16000,0.7347941994667053,119.08496570587158,0.9611860275268554,8,0.2696261703968048,6.242946532229195,-19.608831901550293,0.708837628364563,0.2015396723151207,0.03402714112950338,-194.33221653434322,0.08262035995721817,-194.33221653434322,2.132784366607666,27.271141052246094,-0.46170885484091195,0.3032569885253906,1.4749916791915894
18.0,2.0721046924591064,0.697723031861638,32.88217544555664,134.24810172251344,1000.0,18.0,18000,0.681579053401947,134.08010816574097,0.8759819191694259,9,0.2243855595588684,7.551253570788643,-20.366929550170898,0.7402485609054565,0.19821513712406158,0.03612049597631191,-183.16455030951713,0.08978863805532455,-183.16455030951713,1.962130069732666,31.863277435302734,-0.5028135634602804,0.2604576647281647,1.4999902248382568
20.0,2.2032570838928223,0.7048073667027307,36.865760803222656,133.89131917307546,1000.0,20.0,20000,0.6731916666030884,149.37488198280334,1.1139559078216552,10,0.3534379005432129,10.273207165068575,-24.131419563293456,0.7306008338928223,0.2002177432179451,0.0347110866662064,-166.25809549389717,0.09285271167755127,-166.25809549389717,2.128838539123535,36.069557189941406,-0.45232342968032174,0.4193166196346283,1.5121210813522339
22.0,2.596290349960327,0.6861667185669814,39.98974609375,134.29765649556887,1000.0,22.0,22000,0.7284117341041565,163.81521892547607,1.566804083585739,11,0.339934378862381,13.194952164666388,-28.49262104034424,0.7298543453216553,0.19924085542559625,0.03402714112950338,-113.68168559861834,0.0983971431851387,-113.68168559861834,2.4690403938293457,39.09587097167969,-0.49432214619226444,0.36399173736572266,1.6218726634979248
24.0,2.631990909576416,0.6701725229689234,42.2431640625,132.9673712744092,1000.0,24.0,24000,0.743407666683197,180.49540853500366,1.1199250096082687,12,0.19507716596126556,14.07992740197992,-28.91793876647949,0.7454795837402344,0.20004054725170137,0.0314234939421342,-131.1841448685592,0.10450464487075806,-131.1841448685592,2.4207866191864014,41.44492721557617,-0.5252416030665894,0.22091688215732574,1.736634373664856
26.0,2.2743337154388428,0.6651374728223335,45.403480529785156,131.58251072533184,1000.0,26.0,26000,0.7661643028259277,197.5946488380432,2.7249259114265443,13,0.06513082981109619,13.547756431201472,-26.89615665435791,0.761865496635437,0.19761597365140915,0.03335667202186391,-160.50662731261997,0.10998561233282089,-160.50662731261997,1.9210187196731567,44.419715881347656,-0.5382885334729105,0.08929572254419327,1.8451416492462158
28.0,1.6553641557693481,0.6628340223428766,48.98222351074219,132.27600781584707,1000.0,28.0,28000,0.6975808143615723,211.67859888076782,2.367200549840927,14,-0.001060356735251844,13.502788340383475,-26.946633415222166,0.6737402081489563,0.20128365159034728,0.02960235274322695,-152.26815810240583,0.11306054145097733,-152.26815810240583,1.5662543773651123,48.08529281616211,-0.5394731886598175,-0.019901731982827187,1.948502540588379
30.0,1.6542942523956299,0.6491739798427103,51.9286003112793,132.5704836719001,1000.0,30.0,30000,0.6732388734817505,226.29471635818481,2.2891057896614075,15,0.13922332227230072,13.944327669634546,-27.191611976623534,0.6797353029251099,0.20279469728469848,0.03269941380439556,-142.27248713165858,0.11469725519418716,-142.27248713165858,1.4597896337509155,50.89986801147461,-0.5609664518649466,0.18518638610839844,2.0220394134521484
