#{"gym_version": "0.9.3", "env_id": "HalfCheetah-v1", "t_start": 1516589360.9635682}
r,l,t
2925.358783,1000,2816.014613
1959.145452,1000,2825.300204
2137.164255,1000,2833.409315
1488.26947,1000,2841.551034
2211.944604,1000,2850.117973
2801.810326,1000,2859.149077
2443.078613,1000,2866.958918
2264.896881,1000,2876.432513
2743.513944,1000,2884.566283
2852.614152,1000,2892.004485
2365.175921,1000,2899.309843
2554.480621,1000,2907.58389
2128.532531,1000,2914.433977
2842.751034,1000,2922.78527
2578.041058,1000,2930.545114
2735.919297,1000,2937.892696
2373.577238,1000,2944.799599
2409.810404,1000,2953.908196
1546.360292,1000,2961.90157
-186.612255,1000,2970.860515
2717.685604,1000,2978.488723
2548.408241,1000,2987.61431
2173.761931,1000,2995.404661
2289.939563,1000,3004.267552
2591.383515,1000,3011.768801
2887.260688,1000,3020.798052
2611.64907,1000,3027.697303
2893.571049,1000,3036.097863
2776.340671,1000,3043.632723
2525.590765,1000,3051.479671
2590.633384,1000,3058.469098
1512.289296,1000,3065.853752
1795.981333,1000,3072.919436
2422.328075,1000,3082.733151
2722.451749,1000,3091.751133
2417.257392,1000,3100.26286
2867.271678,1000,3107.922549
2413.708379,1000,49933.347903
